  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:34      0.00      0.00
11:19:34      0.00      0.00
11:19:34      0.00      0.00
11:19:34      0.00      0.00
11:19:34      0.00      0.00
11:19:35      0.00      0.00
11:19:35      0.00      0.00
11:19:35      0.00      0.00
11:19:35      0.00      0.00
11:19:35      0.00      0.00
11:19:35      0.00      0.00
11:19:35      6.89      6.89
11:19:35      0.00      0.00
11:19:35      0.00      0.00
11:19:35      0.00      0.00
11:19:36      0.00      0.00
11:19:36      0.00      0.00
11:19:36      0.00      0.00
11:19:36      0.00      0.00
11:19:36      0.00      0.00
11:19:36      0.00      0.00
11:19:36      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:36      0.00      0.00
11:19:36      0.00      0.00
11:19:36      0.00      0.00
11:19:37      0.00      0.00
11:19:37      0.00      0.00
11:19:37      0.00      0.00
11:19:37      0.00      0.00
11:19:37      0.00      0.00
11:19:37      0.00      0.00
11:19:37      0.00      0.00
11:19:37      0.00      0.00
11:19:37      0.00      0.00
11:19:37      0.00      0.00
11:19:38      0.00      0.00
11:19:38      0.00      0.00
11:19:38      0.00      0.00
11:19:38      0.00      0.00
11:19:38      0.00      0.00
11:19:38      0.00      0.00
11:19:38      0.00      0.00
11:19:38      0.00      0.00
11:19:38      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:39      0.00      0.00
11:19:39      0.00      0.00
11:19:39      0.00      0.00
11:19:39      0.00      0.00
11:19:39      0.00      0.00
11:19:39      0.00      0.00
11:19:39      0.00      0.00
11:19:39      0.00      0.00
11:19:39      0.00      0.00
11:19:39      0.00      0.00
11:19:40      0.00      0.00
11:19:40      0.00      0.00
11:19:40      0.00      0.00
11:19:40      0.00      0.00
11:19:40      0.00      0.00
11:19:40      0.00      0.00
11:19:40      0.00      0.00
11:19:40      0.00      0.00
11:19:40      0.00      0.00
11:19:40      0.00      0.00
11:19:41  203358.7  203358.7
11:19:41  19674.78  19674.78
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:41  273366.0  273366.0
11:19:41  12432.89  12432.89
11:19:41      0.00      0.00
11:19:41      0.00      0.00
11:19:41      0.00      0.00
11:19:41      0.00      0.00
11:19:41      0.00      0.00
11:19:41      0.00      0.00
11:19:42      0.00      0.00
11:19:42      0.00      0.00
11:19:42      0.00      0.00
11:19:42      0.00      0.00
11:19:42      0.00      0.00
11:19:42      0.00      0.00
11:19:42      0.00      0.00
11:19:42      0.00      0.00
11:19:42      0.00      0.00
11:19:42      0.00      0.00
11:19:43      0.00      0.00
11:19:43      0.00      0.00
11:19:43      0.00      0.00
11:19:43      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:43      0.00      0.00
11:19:43      0.00      0.00
11:19:43      0.00      0.00
11:19:43      0.00      0.00
11:19:43      0.00      0.00
11:19:43      0.00      0.00
11:19:44      0.00      0.00
11:19:44      2.56      2.56
11:19:44      0.00      0.00
11:19:44      0.00      0.00
11:19:44      0.00      0.00
11:19:44      0.00      0.00
11:19:44      0.00      0.00
11:19:44      0.00      0.00
11:19:44      0.00      0.00
11:19:44      0.00      0.00
11:19:45      0.00      0.00
11:19:45      0.00      0.00
11:19:45      0.00      0.00
11:19:45      0.00      0.00
11:19:45      0.00      0.00
11:19:45      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:45      0.00      0.00
11:19:45      0.00      0.00
11:19:45      0.00      0.00
11:19:45      0.00      0.00
11:19:46      0.00      0.00
11:19:46      0.00      0.00
11:19:46      0.00      0.00
11:19:46      0.00      0.00
11:19:46      0.00      0.00
11:19:46      0.00      0.00
11:19:46      0.00      0.00
11:19:46      0.00      0.00
11:19:46      0.00      0.00
11:19:46      0.00      0.00
11:19:47      0.00      0.00
11:19:47      0.00      0.00
11:19:47      0.00      0.00
11:19:47      0.00      0.00
11:19:47      0.00      0.00
11:19:47      0.00      0.00
11:19:47      0.00      0.00
11:19:47      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:19:47      0.00      0.00
11:19:47      0.00      0.00
11:19:48      0.00      0.00
